LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01000269,Barnet 005C,E05000058,Oakleigh,E09000003,Barnet,28120
E01000270,Barnet 005D,E05000058,Oakleigh,E09000003,Barnet,28121
E01000271,Barnet 008A,E05000058,Oakleigh,E09000003,Barnet,28122
E01000272,Barnet 008B,E05000058,Oakleigh,E09000003,Barnet,28123
E01000273,Barnet 008C,E05000058,Oakleigh,E09000003,Barnet,28124
E01000274,Barnet 011C,E05000058,Oakleigh,E09000003,Barnet,28125
E01000275,Barnet 012A,E05000059,Totteridge,E09000003,Barnet,28126
E01000276,Barnet 020A,E05000059,Totteridge,E09000003,Barnet,28127
E01000277,Barnet 012B,E05000059,Totteridge,E09000003,Barnet,28128
E01000278,Barnet 020B,E05000059,Totteridge,E09000003,Barnet,28129
E01000279,Barnet 007C,E05000059,Totteridge,E09000003,Barnet,28130
E01000280,Barnet 007D,E05000059,Totteridge,E09000003,Barnet,28131
E01000281,Barnet 008D,E05000059,Totteridge,E09000003,Barnet,28132
E01000282,Barnet 008E,E05000059,Totteridge,E09000003,Barnet,28133
E01000283,Barnet 012C,E05000059,Totteridge,E09000003,Barnet,28134
E01000284,Barnet 012D,E05000059,Totteridge,E09000003,Barnet,28135
E01000285,Barnet 004A,E05000060,Underhill,E09000003,Barnet,28136
E01000286,Barnet 007E,E05000060,Underhill,E09000003,Barnet,28137
E01000287,Barnet 004B,E05000060,Underhill,E09000003,Barnet,28138
E01000288,Barnet 004C,E05000060,Underhill,E09000003,Barnet,28139
E01000330,Bexley 017D,E05011219,Bexleyheath,E09000004,Bexley,28140
E01000144,Barnet 038C,E05000045,Childs Hill,E09000003,Barnet,28141
E01000045,Barking and Dagenham 017C,E05000031,Eastbury,E09000002,Barking and Dagenham,28142
E01000193,Barnet 018B,E05000050,Edgware,E09000003,Barnet,28143
E01000109,Barking and Dagenham 004D,E05000042,Whalebone,E09000002,Barking and Dagenham,28144
E01000353,Bexley 011A,E05011219,Bexleyheath,E09000004,Bexley,28145
E01000145,Barnet 037A,E05000045,Childs Hill,E09000003,Barnet,28147
E01000046,Barking and Dagenham 017D,E05000031,Eastbury,E09000002,Barking and Dagenham,28148
E01000194,Barnet 018C,E05000050,Edgware,E09000003,Barnet,28149
E01000110,Barking and Dagenham 002C,E05000042,Whalebone,E09000002,Barking and Dagenham,28150
E01000355,Bexley 011C,E05011219,Bexleyheath,E09000004,Bexley,28151
E01000111,Barking and Dagenham 002D,E05000042,Whalebone,E09000002,Barking and Dagenham,28152
E01000048,Barking and Dagenham 021B,E05000032,Gascoigne,E09000002,Barking and Dagenham,28153
E01000195,Barnet 013A,E05000050,Edgware,E09000003,Barnet,28155
E01000146,Barnet 038D,E05000045,Childs Hill,E09000003,Barnet,28156
E01000360,Bexley 015A,E05011219,Bexleyheath,E09000004,Bexley,28157
E01000112,Barking and Dagenham 002E,E05000042,Whalebone,E09000002,Barking and Dagenham,28158
E01000049,Barking and Dagenham 021C,E05000032,Gascoigne,E09000002,Barking and Dagenham,28159
E01000196,Barnet 028A,E05000051,Finchley Church End,E09000003,Barnet,28161
E01000147,Barnet 030A,E05000046,Colindale,E09000003,Barnet,28162
E01000362,Bexley 015B,E05011219,Bexleyheath,E09000004,Bexley,28163
E01000113,Barking and Dagenham 002F,E05000042,Whalebone,E09000002,Barking and Dagenham,28164
E01000050,Barking and Dagenham 019C,E05000032,Gascoigne,E09000002,Barking and Dagenham,28165
E01000197,Barnet 023A,E05000051,Finchley Church End,E09000003,Barnet,28167
E01000148,Barnet 030B,E05000046,Colindale,E09000003,Barnet,28168
E01000150,Barnet 036A,E05000046,Colindale,E09000003,Barnet,28169
E01000151,Barnet 026B,E05000046,Colindale,E09000003,Barnet,28170
E01000152,Barnet 026C,E05000046,Colindale,E09000003,Barnet,28171
E01000153,Barnet 026D,E05000046,Colindale,E09000003,Barnet,28172
E01000154,Barnet 026E,E05000046,Colindale,E09000003,Barnet,28173
E01000155,Barnet 030D,E05000046,Colindale,E09000003,Barnet,28174
E01033572,Barnet 030E,E05000046,Colindale,E09000003,Barnet,28175
E01033573,Barnet 030F,E05000046,Colindale,E09000003,Barnet,28176
E01000156,Barnet 022A,E05000047,Coppetts,E09000003,Barnet,28177
E01000157,Barnet 022B,E05000047,Coppetts,E09000003,Barnet,28178
E01000158,Barnet 015A,E05000047,Coppetts,E09000003,Barnet,28179
E01000159,Barnet 015B,E05000047,Coppetts,E09000003,Barnet,28180
E01000160,Barnet 015C,E05000047,Coppetts,E09000003,Barnet,28181
E01000161,Barnet 015D,E05000047,Coppetts,E09000003,Barnet,28182
E01000162,Barnet 015E,E05000047,Coppetts,E09000003,Barnet,28183
E01000163,Barnet 022C,E05000047,Coppetts,E09000003,Barnet,28184
E01000164,Barnet 022D,E05000047,Coppetts,E09000003,Barnet,28185
E01000165,Barnet 022E,E05000047,Coppetts,E09000003,Barnet,28186
E01000166,Barnet 003A,E05000048,East Barnet,E09000003,Barnet,28187
E01000167,Barnet 002A,E05000048,East Barnet,E09000003,Barnet,28188
E01000168,Barnet 003B,E05000048,East Barnet,E09000003,Barnet,28189
E01000169,Barnet 003C,E05000048,East Barnet,E09000003,Barnet,28190
E01000170,Barnet 006A,E05000048,East Barnet,E09000003,Barnet,28191
E01000171,Barnet 006B,E05000048,East Barnet,E09000003,Barnet,28192
E01000172,Barnet 003D,E05000048,East Barnet,E09000003,Barnet,28193
E01000173,Barnet 006C,E05000048,East Barnet,E09000003,Barnet,28194
E01000174,Barnet 006D,E05000048,East Barnet,E09000003,Barnet,28195
E01000175,Barnet 006E,E05000048,East Barnet,E09000003,Barnet,28196
E01000176,Barnet 027A,E05000049,East Finchley,E09000003,Barnet,28197
E01000177,Barnet 029A,E05000049,East Finchley,E09000003,Barnet,28198
E01000178,Barnet 027B,E05000049,East Finchley,E09000003,Barnet,28199
E01000179,Barnet 029B,E05000049,East Finchley,E09000003,Barnet,28200
E01000180,Barnet 029C,E05000049,East Finchley,E09000003,Barnet,28201
E01000181,Barnet 029D,E05000049,East Finchley,E09000003,Barnet,28202
E01000182,Barnet 029E,E05000049,East Finchley,E09000003,Barnet,28203
E01000183,Barnet 033A,E05000049,East Finchley,E09000003,Barnet,28204
E01000184,Barnet 027C,E05000049,East Finchley,E09000003,Barnet,28205
E01000185,Barnet 029F,E05000049,East Finchley,E09000003,Barnet,28206
E01000186,Barnet 014A,E05000050,Edgware,E09000003,Barnet,28207
E01000187,Barnet 014B,E05000050,Edgware,E09000003,Barnet,28208
E01000188,Barnet 014C,E05000050,Edgware,E09000003,Barnet,28209
E01000364,Bexley 023A,E05011219,Bexleyheath,E09000004,Bexley,28210
E01000365,Bexley 015C,E05011219,Bexleyheath,E09000004,Bexley,28212
E01000198,Barnet 025A,E05000051,Finchley Church End,E09000003,Barnet,28213
E01000114,Barking and Dagenham 004E,E05000042,Whalebone,E09000002,Barking and Dagenham,28215
E01000339,Bexley 025A,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28216
E01000199,Barnet 025B,E05000051,Finchley Church End,E09000003,Barnet,28217
E01000051,Barking and Dagenham 021D,E05000032,Gascoigne,E09000002,Barking and Dagenham,28218
E01000115,Barnet 009A,E05000043,Brunswick Park,E09000003,Barnet,28220
E01000340,Bexley 018A,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28221
E01000200,Barnet 028B,E05000051,Finchley Church End,E09000003,Barnet,28222
E01000052,Barking and Dagenham 019D,E05000032,Gascoigne,E09000002,Barking and Dagenham,28223
E01000116,Barnet 009B,E05000043,Brunswick Park,E09000003,Barnet,28224
E01000341,Bexley 022A,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28225
E01000201,Barnet 028C,E05000051,Finchley Church End,E09000003,Barnet,28227
E01033587,Barking and Dagenham 021E,E05000032,Gascoigne,E09000002,Barking and Dagenham,28228
E01000117,Barnet 010A,E05000043,Brunswick Park,E09000003,Barnet,28229
E01000342,Bexley 022B,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28230
E01000202,Barnet 028D,E05000051,Finchley Church End,E09000003,Barnet,28232
E01033588,Barking and Dagenham 021F,E05000032,Gascoigne,E09000002,Barking and Dagenham,28233
E01000118,Barnet 010B,E05000043,Brunswick Park,E09000003,Barnet,28234
E01000343,Bexley 022C,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28235
E01000203,Barnet 028E,E05000051,Finchley Church End,E09000003,Barnet,28237
E01000053,Barking and Dagenham 020A,E05000033,Goresbrook,E09000002,Barking and Dagenham,28238
E01000119,Barnet 009C,E05000043,Brunswick Park,E09000003,Barnet,28239
E01000344,Bexley 025B,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28240
E01000204,Barnet 025C,E05000051,Finchley Church End,E09000003,Barnet,28242
E01000205,Barnet 035A,E05000052,Garden Suburb,E09000003,Barnet,28243
E01000206,Barnet 033B,E05000052,Garden Suburb,E09000003,Barnet,28244
E01000207,Barnet 033C,E05000052,Garden Suburb,E09000003,Barnet,28245
E01000208,Barnet 033D,E05000052,Garden Suburb,E09000003,Barnet,28246
E01000209,Barnet 035B,E05000052,Garden Suburb,E09000003,Barnet,28247
E01000210,Barnet 033E,E05000052,Garden Suburb,E09000003,Barnet,28248
E01000211,Barnet 035C,E05000052,Garden Suburb,E09000003,Barnet,28249
E01000212,Barnet 035D,E05000052,Garden Suburb,E09000003,Barnet,28250
E01000213,Barnet 033F,E05000052,Garden Suburb,E09000003,Barnet,28251
E01000214,Barnet 038E,E05000052,Garden Suburb,E09000003,Barnet,28252
E01000215,Barnet 037B,E05000053,Golders Green,E09000003,Barnet,28253
E01000216,Barnet 035E,E05000053,Golders Green,E09000003,Barnet,28254
E01000217,Barnet 035F,E05000053,Golders Green,E09000003,Barnet,28255
E01000218,Barnet 037C,E05000053,Golders Green,E09000003,Barnet,28256
E01000219,Barnet 037D,E05000053,Golders Green,E09000003,Barnet,28257
E01000220,Barnet 037E,E05000053,Golders Green,E09000003,Barnet,28258
E01000221,Barnet 039B,E05000053,Golders Green,E09000003,Barnet,28259
E01000222,Barnet 040C,E05000053,Golders Green,E09000003,Barnet,28260
E01000223,Barnet 039C,E05000053,Golders Green,E09000003,Barnet,28261
E01000224,Barnet 040D,E05000053,Golders Green,E09000003,Barnet,28262
E01000225,Barnet 037F,E05000053,Golders Green,E09000003,Barnet,28263
E01000226,Barnet 018D,E05000054,Hale,E09000003,Barnet,28264
E01000227,Barnet 018E,E05000054,Hale,E09000003,Barnet,28265
E01000228,Barnet 007A,E05000054,Hale,E09000003,Barnet,28266
E01000229,Barnet 013B,E05000054,Hale,E09000003,Barnet,28267
E01000230,Barnet 013C,E05000054,Hale,E09000003,Barnet,28268
E01000231,Barnet 013D,E05000054,Hale,E09000003,Barnet,28269
E01000232,Barnet 013E,E05000054,Hale,E09000003,Barnet,28270
E01000233,Barnet 013F,E05000054,Hale,E09000003,Barnet,28271
E01000234,Barnet 021D,E05000054,Hale,E09000003,Barnet,28272
E01000235,Barnet 021E,E05000054,Hale,E09000003,Barnet,28273
E01000236,Barnet 034A,E05000055,Hendon,E09000003,Barnet,28274
E01000237,Barnet 032A,E05000055,Hendon,E09000003,Barnet,28275
E01000238,Barnet 034B,E05000055,Hendon,E09000003,Barnet,28276
E01000054,Barking and Dagenham 018A,E05000033,Goresbrook,E09000002,Barking and Dagenham,28277
E01000006,Barking and Dagenham 016A,E05000026,Abbey,E09000002,Barking and Dagenham,28278
E01000120,Barnet 009D,E05000043,Brunswick Park,E09000003,Barnet,28279
E01000345,Bexley 022D,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28280
E01000055,Barking and Dagenham 018B,E05000033,Goresbrook,E09000002,Barking and Dagenham,28281
E01000007,Barking and Dagenham 015A,E05000026,Abbey,E09000002,Barking and Dagenham,28282
E01000121,Barnet 010C,E05000043,Brunswick Park,E09000003,Barnet,28283
E01000413,Bexley 018F,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28284
E01000056,Barking and Dagenham 018C,E05000033,Goresbrook,E09000002,Barking and Dagenham,28285
E01000008,Barking and Dagenham 015B,E05000026,Abbey,E09000002,Barking and Dagenham,28286
E01000122,Barnet 009E,E05000043,Brunswick Park,E09000003,Barnet,28287
E01000460,Bexley 022E,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28288
E01000057,Barking and Dagenham 012A,E05000033,Goresbrook,E09000002,Barking and Dagenham,28289
E01000009,Barking and Dagenham 016B,E05000026,Abbey,E09000002,Barking and Dagenham,28290
E01000123,Barnet 010D,E05000043,Brunswick Park,E09000003,Barnet,28291
E01000462,Bexley 026E,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28292
E01000463,Bexley 025E,E05011220,Blackfen & Lamorbey,E09000004,Bexley,28293
E01000346,Bexley 021A,E05011221,Blendon & Penhill,E09000004,Bexley,28294
E01000347,Bexley 021B,E05011221,Blendon & Penhill,E09000004,Bexley,28295
E01000348,Bexley 020A,E05011221,Blendon & Penhill,E09000004,Bexley,28296
E01000349,Bexley 020B,E05011221,Blendon & Penhill,E09000004,Bexley,28297
E01000350,Bexley 021C,E05011221,Blendon & Penhill,E09000004,Bexley,28298
E01000351,Bexley 024A,E05011221,Blendon & Penhill,E09000004,Bexley,28299
E01000352,Bexley 021D,E05011221,Blendon & Penhill,E09000004,Bexley,28300
E01000443,Bexley 024B,E05011221,Blendon & Penhill,E09000004,Bexley,28301
E01000446,Bexley 024D,E05011221,Blendon & Penhill,E09000004,Bexley,28302
E01000461,Bexley 024E,E05011221,Blendon & Penhill,E09000004,Bexley,28303
E01000328,Bexley 017B,E05011222,Crayford,E09000004,Bexley,28304
E01000331,Bexley 017E,E05011222,Crayford,E09000004,Bexley,28305
E01000374,Bexley 019A,E05011222,Crayford,E09000004,Bexley,28306
E01000375,Bexley 019B,E05011222,Crayford,E09000004,Bexley,28307
E01000376,Bexley 019C,E05011222,Crayford,E09000004,Bexley,28308
E01000377,Bexley 019D,E05011222,Crayford,E09000004,Bexley,28309
E01000378,Bexley 019E,E05011222,Crayford,E09000004,Bexley,28310
E01000379,Bexley 019F,E05011222,Crayford,E09000004,Bexley,28311
E01000380,Bexley 010D,E05011222,Crayford,E09000004,Bexley,28312
